"CombPer","Cap","IWB","ODB","TotCap","Power"
100.0,49.0,21.0,-13.0,35.3,12.4
100.0,49.0,21.0,-11.0,37.0,12.8
100.0,49.0,21.0,-10.0,37.8,13.0
100.0,49.0,21.0,-9.1,38.6,13.1
100.0,49.0,21.0,-7.6,40.1,13.4
100.0,49.0,21.0,-5.6,42.1,13.7
100.0,49.0,21.0,-3.7,44.1,14.0
100.0,49.0,21.0,-0.7,47.6,14.5
100.0,49.0,21.0,2.2,51.2,14.9
100.0,49.0,21.0,4.1,53.8,15.2
100.0,49.0,21.0,6.0,54.7,14.7
100.0,49.0,21.0,7.9,54.7,13.9
100.0,49.0,21.0,9.8,54.7,13.1
100.0,49.0,21.0,11.8,54.7,12.4
100.0,49.0,21.0,13.7,54.7,11.7
100.0,49.0,22.0,-15.0,33.8,12.3
100.0,49.0,22.0,-13.0,35.3,12.7
100.0,49.0,22.0,-11.0,36.9,13.0
100.0,49.0,22.0,-10.0,37.8,13.2
100.0,49.0,22.0,-9.1,38.6,13.3
100.0,49.0,22.0,-7.6,40.0,13.6
100.0,49.0,22.0,-5.6,42.0,13.9
100.0,49.0,22.0,-3.7,44.1,14.2
100.0,49.0,22.0,-0.7,47.5,14.7
100.0,49.0,22.0,2.2,51.2,15.1
100.0,49.0,22.0,4.1,52.9,15.0
100.0,49.0,22.0,6.0,52.9,14.1
100.0,49.0,22.0,7.9,52.9,13.4
100.0,49.0,22.0,9.8,52.9,12.6
100.0,49.0,22.0,11.8,52.9,11.9
100.0,49.0,22.0,13.7,52.9,11.3
100.0,49.0,24.0,-15.0,33.7,12.8
100.0,49.0,24.0,-13.0,35.2,13.2
100.0,49.0,24.0,-11.0,36.8,13.5
100.0,49.0,24.0,-10.0,37.7,13.7
100.0,49.0,24.0,-9.1,38.5,13.8
100.0,49.0,24.0,-7.6,39.9,14.0
100.0,49.0,24.0,-5.6,41.9,14.4
100.0,49.0,24.0,-3.7,44.0,14.6
100.0,49.0,24.0,-0.7,47.4,15.1
100.0,49.0,24.0,2.2,49.2,14.6
100.0,49.0,24.0,4.1,49.2,13.8
100.0,49.0,24.0,6.0,49.2,13.0
100.0,49.0,24.0,7.9,49.2,12.3
100.0,49.0,24.0,9.8,49.2,11.6
100.0,49.0,24.0,11.8,49.2,11.0
100.0,49.0,24.0,13.7,49.2,10.4
90.0,44.1,16.0,-15.0,33.9,11.7
90.0,44.1,16.0,-13.0,35.4,12.0
90.0,44.1,16.0,-11.0,37.0,12.4
90.0,44.1,16.0,-10.0,37.9,12.6
90.0,44.1,16.0,-9.1,38.7,12.8
90.0,44.1,16.0,-7.6,40.1,13.0
90.0,44.1,16.0,-5.6,42.1,13.4
90.0,44.1,16.0,-3.7,44.2,13.7
90.0,44.1,16.0,-0.7,47.7,14.2
90.0,44.1,16.0,2.2,51.3,14.7
90.0,44.1,16.0,4.1,53.9,15.0
90.0,44.1,16.0,6.0,56.5,15.2
90.0,44.1,16.0,7.9,57.4,14.7
90.0,44.1,16.0,9.8,57.4,13.9
90.0,44.1,16.0,11.8,57.4,13.1
90.0,44.1,16.0,13.7,57.4,12.4
90.0,44.1,18.0,-15.0,33.8,12.1
90.0,44.1,18.0,-13.0,35.3,12.5
90.0,44.1,18.0,-11.0,36.9,12.8
90.0,44.1,18.0,-10.0,37.8,13.0
